,x5,magnit
183,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
184,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
185,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
186,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
187,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
188,Коммутатор WS-C2960RX-24PS-L ТС5,WS-C2960R+24PC-L
189,Коммутатор WS-C2960RX-24PS-L ТС5,WS-C2960R+24PC-L
190,Коммутатор WS-C2960RX-24PS-L ТС5,WS-C2960R+24PC-L
191,СХД Dell EMC ME4024,Массив хранения данных РЦ Dell EMC ME4024 с ТП 5 лет
192,СХД Dell EMC ME4024,Массив хранения данных РЦ Dell EMC ME4024 с ТП 5 лет
193,СХД Dell EMC ME4024,Массив хранения данных РЦ Dell EMC ME4024 с ТП 5 лет
194,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
195,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
196,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
197,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
198,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
199,Фискальный регистратор РИТЕЙЛ -01Ф ТС5,Фискальный регистратор ККТ ''РИТЕЙЛ-01Ф'' RS/USB (черный/белый) ФН 15 мес
200,Принтер kyocera P2335dn ТС5,Принтер Kyocera P2335dn
201,ИБП APC Smart-UPS SMT3000RMI2UNC 20г,APC Smart-UPS SMT1000RMI 2U
202,ИБП APC Smart-UPS SMT3000RMI2UNC 20г,APC Smart-UPS SMT1500RMI 2U
203,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
204,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
205,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
206,Коммутатор Cisco WS-C3850R-24T-E ТС5,WS-C3850R-48T-S
207,Коммутатор Cisco WS-C3850R-24T-E ТС5,WS-C3850R-48T-S
208,ТС5 Ручной сканер 2D Honeywell 1450g2D,Honeywell 1450g2D-2
209,Принтер kyocera P2335dn ТС5,Принтер Kyocera P2335dn
210,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
211,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
212,ФТС5 Коммутатор Cisco WS-C2960RX-24PS-L,WS-C2960R+24PC-L
